@RELATION T5V

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE class {1,2,3,4,5}

@DATA
-2.3188,-3.0129,3
-2.3,-1.1172,3
-0.37681,0.58036,1
-2.4389,-3.3731,3
-1.0952,1.8877,4
-2.421,2.2027,4
2.1611,1.0407,2
1.9107,-1.9273,5
0.8698,-0.18582,1
-0.8665,-2.6794,3
1.3835,-1.469,1
-3.2158,-1.823,3
-0.47153,1.0414,1
2.2603,3.096,2
-3.2408,1.5837,4
-2.4194,1.9469,4
0.41863,2.402,2
1.2712,0.1423,1
1.3806,-0.65254,5
-1.6218,-2.1831,3
-0.28826,0.64529,1
-2.4758,-1.7778,3
2.1637,-0.59526,5
0.35141,0.16582,1
1.5951,-2.4927,5
1.2732,0.12923,1
-0.10655,-1.159,5
1.9397,-1.9386,5
-1.825,1.7085,4
-1.3953,-1.5979,3
3.5557,2.686,2
0.046832,-1.4917,1
2.3641,0.75407,2
2.2705,2.1493,2
1.8244,1.5553,2
-1.5916,-1.4204,3
2.6992,-1.4599,5
-2.9344,-0.85744,3
0.25018,-2.0187,5
0.42661,-0.1484,1
1.476,-2.7233,5
-3.3548,-1.4627,3
-2.1545,2.5647,4
-3.8013,-3.7264,3
-0.36205,-0.66062,1
-2.5164,-1.3626,3
-3.0284,-1.6845,3
-1.3916,0.48629,1
-2.3331,-2.084,3
-2.2534,-2.5861,3
-1.0216,1.3744,1
2.0319,0.63888,2
2.5338,1.5383,2
2.8756,0.075928,2
0.30356,-0.92088,1
1.3126,1.9793,2
-1.0742,2.994,4
-3.0647,-1.0455,3
1.6064,2.7703,2
0.19651,0.0067211,1
-0.15233,-0.7494,1
0.19913,-0.68154,1
2.0298,2.1012,2
1.3251,3.6737,2
0.60334,1.0423,1
-2.0799,2.1864,4
0.25825,0.60953,1
-2.2333,-2.1525,3
-1.2307,2.8491,4
-2.921,1.8802,4
-0.76676,-0.69079,1
-0.88653,1.9842,4
0.91831,2.501,2
-1.9909,-0.8629,3
0.0071555,0.024464,1
-1.8067,-0.37248,3
1.7186,-1.5243,5
-2.747,2.5769,4
2.4789,-3.0216,5
2.2673,2.2514,2
-1.6239,1.0514,4
1.4339,-1.6505,5
1.9115,2.9687,2
1.2835,-1.0989,1
-1.5593,3.1146,4
-0.54535,-0.091266,1
4.3496,-1.5289,5
-1.5904,-2.5083,3
1.032,-1.5688,5
-1.6922,3.0049,4
-2.8368,0.4559,4
1.5258,-0.78029,5
2.4723,-0.21582,1
-2.7568,2.4974,4
-3.4179,1.9095,4
2.6857,-2.4154,5
-1.7786,3.0967,4
-2.7358,-2.012,3
2.8525,1.5538,2
-2.2313,-1.7781,3
1.1482,-2.6478,5
3.7759,-1.5178,5
-1.6078,1.8587,4
-3.8669,1.0759,4
3.3285,-2.1268,5
1.4851,2.0481,2
-1.3224,0.94273,4
-0.25756,1.6248,1
1.3691,-2.8374,5
0.81683,2.8431,2
1.4226,1.4741,2
-2.4526,-1.5322,3
-0.59711,1.6796,4
-3.0886,-1.3403,3
1.6229,-2.7166,5
2.1018,1.9916,2
1.9451,-2.6227,5
2.2499,3.1517,2
2.8715,1.3143,2
0.546,-0.96513,1
-0.48216,3.1577,2
1.9897,3.1174,2
2.4012,-3.5529,5
-2.3403,-3.0893,3
1.3755,-1.3603,5
-1.2573,-2.7918,3
1.8274,1.5802,2
-1.6081,1.6958,4
2.8909,1.6997,2
2.6456,1.3108,2
2.0373,2.1157,2
0.35597,-0.049483,1
1.7612,-1.4609,5
2.1786,-2.3357,5
0.84279,0.40104,1
-1.6402,3.071,4
-1.8365,3.1007,4
0.74169,-0.071195,1
1.1635,-0.26829,1
-1.7385,-1.8926,3
2.508,2.0338,2
0.85369,0.88761,1
0.073451,0.22691,1
1.8515,-2.966,5
-1.6065,2.6809,4
-1.0228,-1.164,1
-2.7541,-0.99042,3
-2.7798,-2.8098,3
-2.441,3.304,4
2.7193,-1.9437,5
2.0531,-1.4042,5
1.0562,0.91277,1
-0.35217,1.9562,1
1.0523,1.3049,2
1.3474,2.6887,2
2.5785,-1.8561,5
2.2721,-0.95884,5
-0.61492,-1.233,1
-0.44616,-0.38509,1
-1.3259,-1.8724,3
1.436,-3.4947,5
-2.0025,2.0993,4
-0.020277,-1.1263,1
2.6403,1.6257,2
2.4434,-1.9901,5
-2.6227,-0.81317,3
2.0687,-2.3482,5
0.52429,-0.61144,1
-2.3612,-1.9514,3
-1.0263,1.255,4
0.70634,1.0747,1
-1.7678,-2.9887,3
-0.59621,-0.94871,1
2.4969,1.1518,2
-0.42578,-1.2256,1
-3.7803,-3.1149,3
3.3018,-2.5579,5
1.9873,-2.2908,5
-0.48784,-0.085213,1
-1.7687,1.931,4
2.2822,2.1768,2
1.7378,-2.6286,5
1.1618,0.15641,1
-1.5651,1.1279,4
-1.0954,-0.32066,1
-3.7604,-2.3756,3
3.3623,-3.1082,5
-2.6149,-2.7055,3
1.2078,0.58486,1
3.1664,1.1984,2
-1.0598,-1.3942,3
-1.5047,-2.3732,3
-0.15229,1.3846,1
2.5185,-2.3399,5
-0.83093,1.3471,4
-2.12,0.52848,1
0.053707,-0.66955,1
-1.6188,-2.3051,3
2.3534,1.6242,2
-4.0753,-1.7182,3
-3.0891,-2.5005,3
-1.2961,-0.99193,3
-1.9454,-2.6309,3
0.19615,-0.32018,1
-1.1645,-0.2162,1
-1.9598,2.9351,4
-0.47973,1.5561,4
-4.5031,0.10148,3
-3.0425,-1.3249,3
3.388,-1.8677,5
-2.5885,-3.1566,3
-2.2831,-1.1403,3
-0.42576,1.1469,1
-0.95478,1.6059,4
-1.9953,-1.5159,3
0.40444,1.7825,1
0.53725,-1.0971,1
-1.219,-1.3839,3
-2.6517,1.9912,4
3.2882,-2.2701,5
2.2725,-2.3622,5
-3.1088,2.9427,4
-0.053254,-0.50661,1
2.3558,-2.1521,5
2.2326,2.2746,2
-1.5712,1.4962,4
-2.5101,3.8593,4
-0.68579,-1.7238,3
1.0267,0.16259,1
1.6099,-2.0326,5
1.7449,3.1377,2
3.8645,-1.6577,5
2.2768,2.4457,2
-2.5962,0.56285,4
0.15715,-0.57345,1
-3.0467,1.9215,4
1.0134,-0.1595,1
-2.678,1.8759,4
-1.0013,1.9754,4
-0.82908,1.1533,1
-1.727,-2.3317,3
2.3188,-1.0414,5
-2.2324,-2.4778,3
-1.6033,2.3755,4
-0.38066,0.91665,1
-0.86672,0.34285,3
-1.6871,-0.63983,3
0.95008,1.3253,2
-1.2002,2.2417,4
-1.9542,2.0901,4
1.1663,-3.6678,5
2.5693,-3.1708,5
-2.5488,-1.1608,3
1.0658,-0.81982,5
2.1599,-2.232,5
-0.70511,-0.94199,3
2.7488,-1.6652,5
0.93877,-2.7273,5
2.5563,1.8987,2
2.0661,1.0431,2
1.8801,-2.2025,5
-0.63353,1.8528,4
1.4804,1.6692,2
-0.45169,2.2443,4
-1.5457,-1.8476,3
1.4341,-1.7707,5
-1.9013,1.7662,4
-3.7714,3.9147,4
2.2161,1.8409,2
2.6618,-1.6568,5
-0.75426,0.045319,1
2.2544,-1.7422,5
1.5907,-1.335,5
-3.5729,1.7615,4
0.092526,1.0061,1
1.4246,2.165,2
-3.3794,-2.4763,3
1.6365,-2.1341,5
-1.0368,1.2043,4
0.77821,1.6134,2
0.3752,0.16585,1
0.77168,-0.079478,1
-2.5744,2.6778,4
0.91349,2.0393,2
-1.5531,3.6274,4
1.9933,-1.6825,5
-1.897,0.16133,1
-2.0634,1.4352,4
1.8095,-1.2942,5
-1.6024,1.4379,4
-3.4131,2.3556,4
-1.4336,1.5261,4
-3.029,0.73187,4
0.86113,0.58742,1
-2.5136,-1.9314,3
-3.097,-1.8686,3
-2.9052,2.3341,4
2.2838,-1.4451,5
-1.9947,-1.3534,3
1.195,2.3626,2
-0.10153,1.0456,1
1.0012,-2.0766,5
3.0688,-2.2539,5
2.8292,0.43839,2
-1.5522,-0.7896,3
-1.4485,-1.6262,3
-1.3237,2.3435,4
-2.6695,-2.3832,3
4.6645,1.5392,2
-1.4483,1.8876,4
