DataSet: elecNormNew - Accuracy
Instance,    ECDD,     DDM,    EDDM,     ARF
  1000.0,   86.41,   85.62,   85.05,   86.97
  2000.0,   92.86,   85.70,   89.45,   89.49
  3000.0,   87.11,   82.62,   85.17,   88.91
  4000.0,   88.82,   88.92,   87.05,   91.24
  5000.0,   87.60,   85.53,   87.30,   87.54
  6000.0,   85.51,   82.35,   85.71,   85.91
  7000.0,   85.82,   84.60,   85.74,   87.80
  8000.0,   85.06,   82.29,   84.30,   86.81
  9000.0,   88.33,   87.38,   87.12,   91.86
 10000.0,   85.54,   84.00,   82.15,   88.75
 11000.0,   87.51,   84.47,   84.08,   92.49
 12000.0,   84.68,   82.77,   83.54,   88.22
 13000.0,   84.09,   82.61,   84.44,   87.32
 14000.0,   87.18,   87.01,   87.20,   91.21
 15000.0,   84.12,   81.40,   84.79,   86.29
 16000.0,   86.09,   79.45,   82.58,   86.15
 17000.0,   85.76,   83.24,   83.23,   88.71
 18000.0,   84.76,   82.27,   83.56,   88.96
 19000.0,   88.63,   88.23,   87.38,   92.29
 20000.0,   84.97,   79.99,   80.22,   89.88
 21000.0,   80.99,   75.60,   79.16,   85.85
 22000.0,   90.30,   88.07,   88.42,   87.93
 23000.0,   84.47,   81.27,   81.28,   83.44
 24000.0,   84.80,   82.13,   84.04,   83.75
 25000.0,   86.77,   83.89,   82.23,   86.09
 26000.0,   85.96,   84.01,   83.87,   89.08
 27000.0,   89.06,   87.45,   86.98,   91.31
 28000.0,   87.74,   84.90,   83.10,   86.62
 29000.0,   85.36,   82.64,   84.20,   83.93
 30000.0,   84.85,   82.13,   80.56,   87.58
 31000.0,   85.20,   79.07,   81.64,   85.52
 32000.0,   81.91,   77.71,   79.88,   85.18
 33000.0,   81.48,   80.42,   80.02,   86.43
 34000.0,   87.70,   83.40,   84.09,   88.13
 35000.0,   85.91,   82.46,   79.83,   82.42
 36000.0,   86.70,   86.21,   86.25,   85.55
 37000.0,   85.99,   82.47,   83.42,   83.80
 38000.0,   85.09,   82.98,   83.04,   86.96
 39000.0,   83.93,   80.82,   82.00,   87.76
 40000.0,   86.76,   86.79,   85.22,   89.02
 41000.0,   84.14,   81.10,   82.13,   89.25
 42000.0,   88.24,   84.63,   87.58,   90.28
 43000.0,   84.19,   80.25,   81.58,   88.06
 44000.0,   84.65,   78.22,   81.16,   85.32
 45000.0,   88.22,   82.35,   84.37,   91.30
 45312.0,   88.72,   85.51,   84.75,   91.87
DataSet: elecNormNew - Kappa M
Instances,    ECDD,     DDM,    EDDM,     ARF
  1000.0,   72.27,   70.65,   69.49,   73.41
  2000.0,   76.04,   52.01,   64.60,   64.73
  3000.0,   68.64,   57.71,   63.92,   73.02
  4000.0,   71.41,   71.66,   66.88,   77.60
  5000.0,   64.97,   59.12,   64.12,   64.80
  6000.0,   65.33,   57.78,   65.81,   66.29
  7000.0,   66.32,   63.42,   66.13,   71.02
  8000.0,   71.86,   66.65,   70.43,   75.16
  9000.0,   75.38,   73.38,   72.83,   82.83
 10000.0,   70.25,   67.08,   63.27,   76.85
 11000.0,   74.97,   68.88,   68.10,   84.95
 12000.0,   65.88,   61.63,   63.34,   73.76
 13000.0,   67.79,   64.80,   68.50,   74.33
 14000.0,   72.49,   72.12,   72.53,   81.14
 15000.0,   64.71,   58.67,   66.20,   69.53
 16000.0,   66.96,   51.19,   58.62,   67.10
 17000.0,   60.44,   53.44,   53.42,   68.64
 18000.0,   63.19,   57.17,   60.29,   73.33
 19000.0,   67.97,   66.85,   64.45,   78.28
