learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.03125,-8.084397349092696E-14,1000.0,0.0,85.61999999999999,0.4131182235954557,71.23699932391023,0.8301354038709807,-2.714285714285716,2.950844454253272,70.65306122448979,0.8430984155009369
2000.0,0.0625,-1.6168794698185392E-13,2000.0,0.0,85.69999999999999,3.7094473981982854,63.751992920861134,10.930445079215973,-2.142857142857138,26.49605284427345,52.01342281879195,12.447810061068065
3000.0,0.09375,-2.4253192047278086E-13,3000.0,0.0,82.62,2.644407095908055,63.74687924878312,6.3465657185598205,6.559139784946259,14.217242451118576,57.71289537712896,6.434080525323736
4000.0,0.109375,-2.829539072182441E-13,4000.0,0.0,88.91999999999999,0.7842901957254754,76.80960580600393,1.7405189817057094,34.43786982248523,4.640770388908168,71.66240409207163,2.005857278070285
5000.0,0.140625,-3.6379788070917106E-13,5000.0,0.0,85.53,3.2947938731681905,68.41312401447273,7.026743559985242,9.562500000000021,20.592461707301197,59.12429378531074,9.307327325333874
6000.0,0.171875,-4.4464185420009803E-13,6000.0,0.0,82.35,2.7060631511067497,63.316611247121685,5.600818227508561,-16.118421052631568,17.803047046754894,57.77511961722488,6.473835289729053
7000.0,0.1875,-4.850638409455616E-13,7000.0,0.0,84.6,1.2823589374447586,68.25772850908908,2.8584014560284876,19.371727748691068,6.713921138454228,63.42042755344418,3.045983224334337
8000.0,0.21875,-5.659078144364881E-13,8000.0,0.0,82.29,1.1445037740824109,64.40175176206324,2.293943799916141,-3.5672514619882936,6.69300452679773,66.64783427495291,2.155374339138251
9000.0,0.234375,-6.063298011819518E-13,9000.0,0.0,87.38,1.068540021607883,74.55482891196384,2.2068437161998973,26.627906976744203,6.212441986092355,73.37552742616032,2.2543038430546085
10000.0,0.265625,-6.871737746728783E-13,10000.0,0.0,84.0,1.5499103916750228,68.00100013169587,3.103971833190819,-11.888111888111895,10.83853420751765,67.07818930041151,3.1891160322531316
11000.0,0.296875,-7.680177481638048E-13,11000.0,0.0,84.47,2.041812919931694,68.92102826635971,4.160945126228109,13.240223463687164,11.406776089003882,68.87775551102203,4.091809458780951
12000.0,0.3125,-8.084397349092685E-13,12000.0,0.0,82.77,2.733353658461011,64.80589828242456,5.892048835389313,-24.855072463768106,19.806910568558067,61.62583518930957,6.087647346238339
13000.0,0.34375,-8.89283708400195E-13,13000.0,0.0,82.61,3.0193634354869436,65.23657617417443,6.042585761205159,-21.608391608391603,21.11442961878984,64.79757085020242,6.112071731754952
14000.0,0.359375,-9.297056951456587E-13,14000.0,0.0,87.00999999999999,1.5580971300489146,74.01787266246124,3.121145866568843,-32.551020408163296,15.898950306621602,72.12446351931331,3.343556073066343
15000.0,0.375,-9.701276818911224E-13,15000.0,0.0,81.39999999999999,1.328323923011416,60.995280262200495,2.8062484594982924,-28.275862068965512,9.160854641458036,58.66666666666666,2.95183094002537
16000.0,0.40625,-1.05097165538205E-12,16000.0,0.0,79.44999999999999,4.833505744051385,56.48198828954185,11.722458899903481,-25.30487804878047,29.47259600031334,51.18764845605701,11.481011268530615
17000.0,0.4375,-1.1318156288729774E-12,17000.0,0.0,83.24,1.3133502536981088,63.175728529348305,3.149380840119994,-4.7499999999999964,8.208439085613172,53.444444444444436,3.6481951491614106
18000.0,0.453125,-1.1722376156184411E-12,18000.0,0.0,82.27,3.862655965926957,63.71076491490216,7.58672185345294,-27.553956834532386,27.788891841201124,57.17391304347826,9.3300868742197
19000.0,0.484375,-1.2530815891093686E-12,19000.0,0.0,88.23,0.5498484639728792,73.14600399856828,1.18058860901565,12.164179104477622,4.103346746066257,66.8450704225352,1.548868912599657
20000.0,0.515625,-1.333925562600296E-12,20000.0,0.0,79.99000000000001,4.28056330664811,60.014072807355525,8.499758727742211,-61.37096774193547,34.52067182780734,61.07003891050584,8.327944176358194
21000.0,0.546875,-1.4147695360912235E-12,21000.0,0.0,75.6,6.70870081809188,50.549689032488665,14.21079313676703,-33.333333333333286,36.65956731197749,45.04504504504504,15.109686527233972
22000.0,0.578125,-1.495613509582151E-12,22000.0,0.0,88.07000000000001,2.904039332454789,69.59637935529477,7.915148867827964,36.20320855614976,15.529622098688693,56.45985401459856,10.598683695090463
23000.0,0.59375,-1.5360354963276148E-12,23000.0,0.0,81.27,4.527704839221642,61.00109865893229,11.15851893309014,-24.039735099337747,29.984800259745978,56.13583138173302,10.603524213633825
24000.0,0.625,-1.6168794698185422E-12,24000.0,0.0,82.13000000000001,2.6191813818655434,61.68685426573222,6.124182433676166,-20.743243243243235,17.697171499091507,54.87373737373736,6.614094398650362
25000.0,0.65625,-1.6977234433094697E-12,25000.0,0.0,83.88999999999999,0.8319321553534931,65.65279311444064,1.8904296497418487,-38.87931034482762,7.17182892546117,57.26790450928381,2.206716592449589
26000.0,0.6875,-1.7785674168003972E-12,26000.0,0.0,84.00999999999999,1.9728434076507717,67.71203645955777,3.913093282584195,-14.214285714285717,14.091738626076934,63.82352941176469,4.463446623644278
27000.0,0.71875,-1.8594113902913247E-12,27000.0,0.0,87.45,0.716860438920217,74.08666695048743,1.3640861059210496,-17.289719626168242,6.699630270282427,69.39024390243902,1.7484400949273653
28000.0,0.75,-1.940255363782252E-12,28000.0,0.0,84.89999999999999,1.4966629547095782,68.45804959485076,3.2343364898063682,-65.93406593406601,16.44684565614921,63.17073170731707,3.650397450511164
29000.0,0.796875,-2.0615213240186413E-12,29000.0,0.0,82.64,0.887192826341098,62.310195208176594,1.9315131318953103,-49.65517241379314,7.648214020181896,54.435695538057736,2.3285900953834653
30000.0,0.828125,-2.142365297509569E-12,30000.0,0.0,82.13,1.5377111417803857,61.81644811948203,3.525786837036547,-65.46296296296296,14.238066127596186,54.873737373737384,3.883108943889867
31000.0,0.859375,-2.2232092710004963E-12,31000.0,0.0,79.07000000000001,1.9038265560590222,54.71541663555134,4.413490072979104,-40.46979865771809,12.77735943663772,44.77572559366755,5.023289066118788
32000.0,0.890625,-2.3040532444914237E-12,32000.0,0.0,77.71000000000001,2.287380840855126,53.858279558356244,4.989915270214581,-54.79166666666663,15.884589172605066,46.8019093078759,5.459142818269998
33000.0,0.921875,-2.3848972179823512E-12,33000.0,0.0,80.42,1.0443498775155116,60.585643595154316,2.1970985768761078,-67.35042735042732,8.92606732919241,56.96703296703297,2.2952744560780483
34000.0,0.953125,-2.4657411914732787E-12,34000.0,0.0,83.4,4.03512356963479,65.38549123991379,8.267467961854274,-16.901408450704224,28.41636316644219,56.883116883116884,10.480840440609848
35000.0,0.984375,-2.546585164964206E-12,35000.0,0.0,82.46000000000001,3.4455123792486257,63.49340513937978,7.729861433056528,-43.7704918032787,28.241904747939575,58.337292161520196,8.184114915079878
36000.0,1.015625,-2.6274291384551336E-12,36000.0,0.0,86.21000000000001,1.3979747255702955,68.70363800646132,2.5218619930111434,10.454545454545464,9.077757958248656,54.93464052287582,4.56854485480488
37000.0,1.046875,-2.708273111946061E-12,37000.0,0.0,82.47,1.549946235626682,61.2126621176852,4.154548054811342,-8.20987654320987,9.567569355720263,50.056980056980045,4.415801241101663
38000.0,1.078125,-2.7891170854369886E-12,38000.0,0.0,82.98,1.4257941257028928,62.95475009206408,3.2524034835549163,-19.859154929577475,10.040803702133067,49.79351032448376,4.205882376704706
39000.0,1.109375,-2.869961058927916E-12,39000.0,0.0,80.82000000000001,0.7390684827688278,61.40815972461915,1.4483316845382284,-46.412213740457986,5.6417441432734945,59.017094017094024,1.5792061597624516
40000.0,1.140625,-2.9508050324188436E-12,40000.0,0.0,86.79,2.6714332399585725,73.03200080665079,5.424016851512028,9.520547945205497,18.297487944921723,71.03070175438596,5.8584062279793265
41000.0,1.171875,-3.031649005909771E-12,41000.0,0.0,81.1,0.8793937305515218,62.25021037068945,1.7440403866705507,-2.162162162162115,4.753479624602835,59.70149253731344,1.8750399372100726
42000.0,1.1875,-3.0720709926552327E-12,42000.0,0.0,84.63,0.42176876234364347,69.27674219937246,0.842883086498913,3.3333333333333357,2.652633725431723,68.88663967611335,0.8537829197239771
43000.0,1.21875,-3.1529149661461602E-12,43000.0,0.0,80.25,1.5600925898448739,60.60156772275105,3.0181114755565575,-54.29687499999997,12.188223358163057,57.15835140997831,3.384148784912956
44000.0,1.25,-3.2337589396370877E-12,44000.0,0.0,78.22000000000001,2.964156241196176,54.329065198894064,5.929273818667004,-19.0163934426229,16.197575088503687,40.65395095367848,8.076720003259334
45000.0,1.28125,-3.314602913128015E-12,45000.0,0.0,82.35,1.3343745934165394,63.65205443890365,2.9233938689780032,-34.732824427480935,10.186065598599525,58.372641509433954,3.147109890133344
45312.0,1.296875,-3.355024899873477E-12,45312.0,0.0,85.51,0.9073159439920708,70.80814782944312,1.8760136403828285,-2.0422535211267627,6.389548901352615,68.97216274089935,1.9428606937731698
