learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.057543267,-1.4886484326173865E-13,1000.0,0.0,73.25,1.0762589527308606,39.5214657555038,2.3361644077815154,17.944785276073603,3.3014078304627725,17.944785276073603,3.3014078304627725
2000.0,0.107130312,-2.7714688330888753E-13,2000.0,0.0,76.22,0.6321040701937941,39.22913167361786,1.022653024407625,24.746835443037966,2.000329336056299,12.893772893772905,2.3153995245193792
3000.0,0.145395692,-3.7613969503177525E-13,3000.0,0.0,74.05999999999999,0.9924156835161783,28.936826264662454,1.6640854126983815,11.768707482993205,3.375563549374768,3.2089552238806,3.703043595209634
4000.0,0.180466949,-4.668692877102227E-13,4000.0,0.0,73.52,0.7004760286167301,37.03880236756359,1.7762808681576525,19.26829268292682,2.1355976482217423,15.399361022364197,2.2379425834400353
5000.0,0.215160462,-5.566216539591547E-13,5000.0,0.0,71.94,0.6586180818788536,29.14636256518686,1.8934352422878917,18.901734104046227,1.903520467857954,8.300653594771248,2.152346672806706
6000.0,0.249608429,-6.457387909500131E-13,6000.0,0.0,71.62999999999998,0.7930952023559319,30.738148000541074,1.9340022238131431,10.504731861198714,2.50187760995563,6.677631578947373,2.608865797223469
7000.0,0.286092232,-7.401226502325796E-13,7000.0,0.0,74.23,1.8111077027916131,35.66018094069305,2.6366433979330384,10.209059233449485,6.310479800667643,9.895104895104902,6.332544415355292
8000.0,0.32188157,-8.327099235935341E-13,8000.0,0.0,69.78,0.6106462878695713,29.97094501063811,1.3615474275081236,8.975903614457811,1.8392960477999107,5.562499999999975,1.9082696495924074
9000.0,0.356798103,-9.230392441774404E-13,9000.0,0.0,73.19,0.8569325138733701,39.50615581550504,1.8810664677224993,20.91445427728612,2.5278245247002094,15.956112852664557,2.6863088209196575
10000.0,0.392470466,-1.0153239023768237E-12,10000.0,0.0,73.24,0.6432556084308786,31.08346078644617,1.5964533249519248,11.096345514950174,2.137061822029493,7.083333333333338,2.233526418162769
11000.0,0.428407575,-1.1082934603715937E-12,11000.0,0.0,74.72,0.7568942389058653,32.201673374509454,2.5540540614556386,11.608391608391615,2.6464833528177123,4.603773584905664,2.8562046751164747
12000.0,0.465264699,-1.203643103751043E-12,12000.0,0.0,73.80999999999999,0.7015063158027234,28.211905216480915,1.6650714027295548,13.848684210526326,2.3075865651405407,-1.9066147859922193,2.7295965595436753
13000.0,0.501175625,-1.2965449261375594E-12,13000.0,0.0,71.06,0.7183313998427208,33.043034740135205,1.936585700335302,15.131964809384145,2.1065436945534297,13.353293413173633,2.1506928139003576
14000.0,0.536757347,-1.3885950954217041E-12,14000.0,0.0,70.28,0.7857056276579206,37.27225407050169,1.3350773625994163,9.113149847094776,2.402769503541056,24.56852791878172,1.9941767199439722
15000.0,0.570597846,-1.4761407083521287E-12,15000.0,0.0,75.31,0.7880355321938243,42.09731206478732,0.8494061491358992,17.14765100671142,2.644414537563162,20.354838709677434,2.5420501038510395
16000.0,0.606233135,-1.5683294558483684E-12,16000.0,0.0,71.95,0.6948221195225283,41.296638134825265,1.3189829606896668,20.538243626062307,1.9683346162111288,29.52261306532663,1.7457842199058484
17000.0,0.641175868,-1.6587265560196494E-12,17000.0,0.0,72.27000000000001,0.8667307668602899,39.0029556157988,1.8535148292945598,15.714285714285694,2.6344400208519407,16.223564954682764,2.61852195426069
18000.0,0.677942656,-1.753842499521042E-12,18000.0,0.0,69.42999999999999,0.7364328437361609,35.79956922634046,1.5219675434748894,9.017857142857128,2.19176441588143,17.82258064516129,1.9796581820864514
18159.0,0.683098521,-1.7671807591492925E-12,18159.0,0.0,69.46000000000001,0.9203863922891877,35.42773735145072,2.0331118933220873,8.835820895522373,2.7474220665348876,16.55737704918032,2.5147169188229164
